Row,Referencias,Parte,Valor,P/N,Fabricante,Cod. Digi-Key,Footprint,Descripción,Quantity Per PCB
1,C201 C202 C203 C204 C205 C206 C207 C208 C209 C210 C211 C212 C213 C214 C215 C216 C301 C302 C303 C304 C305 C306 C307 C308 C309 C310 C311 C312 C313 C314 C315 C316,C,2.2 µF,,,,C_0402_1005Metric,,32
2,D201 D202 D203 D204 D205 D206 D207 D208 D209 D210 D211 D212 D213 D214 D215 D216 D301 D302 D303 D304 D305 D306 D307 D308 D309 D310 D311 D312 D313 D314 D315 D316,1N4148WT,1N4148WT,,,,D_SOD-523,,32
3,H101 H102 H103 H104 H105 H106,MountingHole_Pad,~,,,,MountingHole_3.2mm_M3_ISO14580_Pad,,6
4,J201 J202 J203 J204 J301 J302 J303 J304,Conn_Coaxial,Conn_Coaxial,,,,BNC_TEConnectivity_1478204_Vertical,,8
5,J409 J410 J411,Conn_01x01,GND,,,,SolderWire-2.5sqmm_1x01_D2.4mm_OD3.6mm,,3
6,J101,Conn_02x20_Odd_Even,GPIO0,,,,PinSocket_2x20_P2.54mm_Vertical,,1
7,J401 J402 J403 J404 J405 J406 J407 J408,Conn_01x02,OUT1,,,,SolderWire-2.5sqmm_1x02_P7.2mm_D2.4mm_OD3.6mm,,8
8,Q405 Q406 Q407 Q408 Q413 Q414 Q415 Q416,BC850,BC850,,,,SOT-23,,8
9,Q401 Q402 Q403 Q404 Q409 Q410 Q411 Q412,BC860,BC860,,,,SOT-23,,8
10,R201 R202 R203 R204 R205 R206 R207 R208 R209 R210 R211 R212 R213 R214 R215 R216 R217 R218 R219 R220 R221 R222 R223 R224 R301 R302 R303 R304 R305 R306 R307 R308 R309 R310 R311 R312 R313 R314 R315 R316 R317 R318 R319 R320 R321 R322 R323 R324 R401 R402 R403 R404 R405 R406 R407 R408 R409 R410 R411 R412 R413 R414 R415 R416 R417 R418 R419 R420 R421 R422 R423 R424 R425 R426 R427 R428 R429 R430 R431 R432,R,1 MΩ,,,,R_0402_1005Metric,,80
11,U201 U202 U203 U204 U301 U302 U303 U304,TLV3601DCKR,GS8743-CR,,,,SOT-353_SC-70-5,,8





Project info:
Schematic:,latbox_cycloneV
Variant:,default
Revision:,v0.1
Date:,2022-01-19_11-24-50
KiCad Version:,6.0.0-d3dd2cf0fa~116~ubuntu21.10.1
Statistics:
Component Groups:,11
Component Count:,194
Fitted Components:,194
Number of PCBs:,1
Total Components:,194
